,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
220,0.9730058,0.62054646,0.52244467,0.3051034,80.91447
221,0.9842281,0.624058,0.5220655,0.3043583,81.01304
222,0.96208674,0.6124831,0.5188808,0.30205753,81.20261
223,0.9808917,0.62030745,0.5198665,0.30324316,81.066124
224,0.9708826,0.6143841,0.52365786,0.30490783,81.00546
225,0.96845615,0.6140883,0.5273734,0.30692187,80.88414
226,0.9787686,0.6194158,0.51994234,0.30282322,81.126785
227,0.96572644,0.61255807,0.52282375,0.3041104,81.0737
228,0.9690628,0.61250585,0.51835,0.3020738,81.17228
229,0.9457082,0.60333765,0.5189566,0.3023182,81.14953
230,0.9730058,0.6172014,0.5273734,0.30682555,80.92205
231,0.948438,0.6045743,0.51804674,0.30190033,81.164696
232,0.9802851,0.6189638,0.52100396,0.302879,81.17228
233,0.9760388,0.61973214,0.5188808,0.302128,81.18745
234,0.97694874,0.62059873,0.5211556,0.30336693,81.11162
235,0.9681529,0.61656475,0.5160752,0.30056906,81.26327
236,0.9699727,0.61856496,0.5255535,0.30641058,80.87656
237,0.95086443,0.6037191,0.52214134,0.30411607,81.04337
238,0.9739157,0.6204957,0.52274793,0.3044862,81.02062
239,0.9824082,0.6212474,0.51956326,0.3026881,81.126785
240,0.99272066,0.6299913,0.5283591,0.3076297,80.83864
241,0.97725207,0.61933553,0.52509856,0.3056824,80.95996
242,0.9818016,0.61922294,0.52714586,0.3065238,80.93722
243,0.9690628,0.6133055,0.5202457,0.3030379,81.1192
244,0.96360326,0.61151385,0.51933575,0.303293,81.03579
245,0.9532909,0.60401326,0.5197149,0.30259195,81.14953
246,0.9690628,0.61541975,0.5231271,0.3045431,81.028206
247,0.96239007,0.61365885,0.5288141,0.30775234,80.84622
248,0.9654231,0.61376137,0.52593267,0.30576602,80.990295
249,0.9766454,0.6163006,0.51865333,0.30212608,81.17228
250,0.9723992,0.6184756,0.5266151,0.3066665,80.88414
251,0.96633303,0.61582714,0.521838,0.30411604,81.028206
252,0.955414,0.60579515,0.51880497,0.30285847,81.05854
253,0.9563239,0.6091156,0.5172126,0.30121765,81.22536
254,0.985138,0.62571263,0.5189566,0.30237395,81.141945
255,0.95935696,0.6094577,0.5232787,0.30471367,81.01304
256,0.96724296,0.6141329,0.5184258,0.30206892,81.17228
257,0.96148014,0.61005634,0.52161056,0.30357057,81.104034
258,0.96208674,0.61351836,0.52092814,0.30363506,81.05854
259,0.95086443,0.60544527,0.52077645,0.3036391,81.05096
260,0.9760388,0.6204122,0.5211556,0.303589,81.08128
261,0.9590537,0.61017275,0.5219897,0.30476356,80.93722
262,0.9799818,0.62076163,0.5260843,0.3060466,80.95238
263,0.97907186,0.6203396,0.51941156,0.30265102,81.1192
264,0.9723992,0.6182526,0.5212314,0.3045298,80.9448
265,0.97907186,0.61777925,0.5168335,0.3016083,81.15711
266,0.96239007,0.61269706,0.52161056,0.304399,80.97513
267,0.95359415,0.6068461,0.52077645,0.30352044,81.0737
268,0.9824082,0.6236761,0.5239612,0.30467477,81.04337
269,0.96663636,0.6158479,0.52016985,0.30286944,81.141945
270,0.9681529,0.61480486,0.5296482,0.3087523,80.7249
271,0.9557173,0.6087439,0.5156961,0.30069286,81.21777
272,0.9581438,0.60861367,0.52380955,0.30539566,80.929634
273,0.96845615,0.61595315,0.5216864,0.30456775,80.95238
274,0.9590537,0.6130163,0.51948744,0.30250555,81.14953
275,0.9766454,0.6203831,0.5175918,0.30109784,81.27085
276,0.96845615,0.6163529,0.5217622,0.30428794,81.00546
277,0.9699727,0.6136932,0.51941156,0.30304694,81.05854
278,0.96572644,0.6119676,0.52236885,0.3040364,81.066124
279,0.9590537,0.6135916,0.5200182,0.3035798,81.02062
280,0.9760388,0.61708474,0.527525,0.30701393,80.88414
281,0.9654231,0.6144577,0.5214589,0.30379242,81.05854
282,0.9808917,0.6203821,0.52070063,0.30284926,81.14953
283,0.9942372,0.625876,0.5249469,0.30566746,80.95996
284,0.9642099,0.6120024,0.5192599,0.3026439,81.1192
285,0.97634214,0.61465484,0.51660603,0.30080023,81.26327
286,0.95177436,0.6073022,0.5203973,0.3025275,81.19502
287,0.9681529,0.6144501,0.51865333,0.3023112,81.126785
288,0.9660297,0.6138522,0.52077645,0.30351296,81.066124
289,0.95935696,0.6075016,0.52790415,0.30757856,80.815895
290,0.970276,0.6178298,0.5188808,0.30191308,81.20261
291,0.9590537,0.6084603,0.5188808,0.30186206,81.21777
292,0.96663636,0.6133793,0.51994234,0.30260134,81.164696
293,0.97421896,0.6185338,0.5198665,0.3031136,81.09645
294,0.95723385,0.60619533,0.52297544,0.30450243,81.03579
295,0.9739157,0.61663395,0.52282375,0.30426604,81.05854
296,0.9754322,0.6187861,0.5219139,0.30381858,81.08887
297,0.9708826,0.61660475,0.5260085,0.30591887,80.95996
298,0.9538975,0.60611385,0.52305126,0.30469304,81.01304
299,0.97907186,0.61751443,0.5198665,0.30314296,81.08128
300,0.95662725,0.60768735,0.5197149,0.30234438,81.18745
301,0.9639066,0.6145683,0.5210798,0.3032798,81.1192
302,0.9675462,0.6128496,0.5156961,0.30065545,81.23294
303,0.97209585,0.6167501,0.5214589,0.30385554,81.04337
304,0.96208674,0.61209893,0.52509856,0.30608156,80.8993
305,0.97148925,0.6154805,0.5254777,0.30578417,80.967545
306,0.9602669,0.6130917,0.5206248,0.3031544,81.11162
307,0.9799818,0.6216637,0.5143312,0.2995164,81.339096
308,0.9711859,0.61559325,0.5181984,0.30174157,81.20261
309,0.9723992,0.6185166,0.52358204,0.304887,81.00546
310,0.9584471,0.6091239,0.5239612,0.30508897,80.99788
311,0.9745223,0.617771,0.5217622,0.30392566,81.05096
312,0.97725207,0.6210482,0.52085227,0.3030713,81.13436
313,0.9654231,0.6131556,0.52221715,0.30480203,80.9448
314,0.9639066,0.61406493,0.51933575,0.30227965,81.17986
315,0.96178347,0.6122828,0.5168335,0.30129755,81.18745
316,0.9584471,0.6107509,0.51865333,0.3014643,81.26327
317,0.9645132,0.61146283,0.5288141,0.30829182,80.76282
318,0.9557173,0.6078754,0.52358204,0.3049206,80.99788
319,0.9739157,0.6185999,0.5185775,0.301932,81.18745
320,0.9748256,0.6216871,0.52085227,0.30306017,81.13436
321,0.9766454,0.6189031,0.52221715,0.30458403,80.97513
322,0.9802851,0.62195146,0.52365786,0.30503345,80.990295
323,0.9854413,0.6261601,0.5232787,0.3039996,81.1192
324,0.98210496,0.6234018,0.5181984,0.30109382,81.301186
325,0.98210496,0.62251395,0.52449197,0.30542326,80.967545
326,0.9693661,0.6149977,0.52509856,0.30539045,81.00546
327,0.96633303,0.6151436,0.52305126,0.30565104,80.853806
328,0.9730058,0.6173959,0.52570516,0.30638897,80.87656
329,0.95298755,0.60674226,0.52509856,0.30548635,80.98271
330,0.96208674,0.614536,0.52851075,0.30774078,80.82348
331,0.9605702,0.61074245,0.51804674,0.30157846,81.23294
332,0.97573555,0.61765313,0.51941156,0.30273288,81.126785
333,0.9642099,0.6154177,0.5233546,0.3047895,81.00546
334,0.9796785,0.62205327,0.5232029,0.30458233,81.028206
335,0.98908097,0.62746304,0.5241128,0.3058099,80.8993
336,0.98271155,0.6224109,0.5214589,0.30341548,81.11162
337,0.98058844,0.6237641,0.5192599,0.30306563,81.05096
338,0.9654231,0.6122557,0.52434033,0.30543476,80.967545
339,0.98847437,0.62657547,0.5225205,0.30426905,81.04337
340,0.97725207,0.6200601,0.5191841,0.3024498,81.141945
341,0.96663636,0.6126821,0.52085227,0.3033296,81.104034
342,0.97755533,0.6193262,0.5175918,0.301926,81.14953
343,0.9796785,0.6239336,0.5255535,0.30611533,80.929634
344,0.9642099,0.6112188,0.5198665,0.30266988,81.14953
345,0.9705793,0.6147155,0.5254019,0.30582288,80.95996
346,0.94722474,0.60204417,0.51728845,0.3011756,81.240524
347,0.96299666,0.6105942,0.5190325,0.3026975,81.104034
348,0.96633303,0.61232173,0.5188808,0.30222365,81.164696
349,0.9669396,0.6126588,0.52138305,0.30406025,81.01304
350,0.9824082,0.6241045,0.5191083,0.302034,81.21019
351,0.9648165,0.6159667,0.5182742,0.30162844,81.21777
352,0.97361237,0.6190965,0.5219897,0.3037353,81.08887
353,0.97634214,0.62113076,0.5280558,0.3073747,80.853806
354,0.96208674,0.6097169,0.5247194,0.30541766,80.99788
355,0.9693661,0.61322296,0.52509856,0.30550897,80.99788
356,0.95602065,0.60635585,0.5219139,0.30436546,80.99788
357,0.978162,0.61904675,0.5169093,0.30112162,81.240524
358,0.9787686,0.6175352,0.5226721,0.3041662,81.05096
359,0.96239007,0.61006427,0.5202457,0.30354816,81.03579
360,0.9751289,0.6168413,0.52244467,0.30414176,81.05854
361,0.9584471,0.6093901,0.52153474,0.30416372,81.00546
362,0.97573555,0.62033,0.5253261,0.3054438,81.00546
363,0.9948438,0.6325573,0.5191083,0.3022262,81.15711
364,0.9711859,0.61768824,0.5232787,0.3039444,81.1192
365,0.96360326,0.61231303,0.5211556,0.30419886,80.990295
366,0.96148014,0.6103102,0.52092814,0.30355346,81.08128
367,0.96269333,0.61276376,0.52100396,0.30399582,81.00546
368,0.9611768,0.60873204,0.52092814,0.30285835,81.17986
369,0.97270244,0.61761105,0.51812255,0.30166525,81.21019
370,0.9648165,0.61462253,0.5225963,0.30427116,81.05096
371,0.94722474,0.60566896,0.520549,0.30294186,81.13436
372,0.9787686,0.62073225,0.52138305,0.30357602,81.08887
373,0.9699727,0.61464334,0.52669096,0.3068752,80.86897
374,0.9584471,0.6110642,0.5266151,0.3064812,80.92205
375,0.9799818,0.62071437,0.51865333,0.30174926,81.21019
376,0.98331815,0.62548953,0.5191841,0.30188027,81.22536
377,0.9584471,0.6093775,0.5197149,0.30297294,81.09645
378,0.9602669,0.6134162,0.5192599,0.30256298,81.126785
379,0.9569305,0.6096789,0.52153474,0.30394632,81.028206
380,0.95177436,0.60496676,0.52434033,0.30539745,80.967545
381,0.95935696,0.60944486,0.5190325,0.3021502,81.18745
382,0.96572644,0.6147903,0.52092814,0.30342087,81.08887
383,0.95662725,0.6069954,0.52092814,0.30346528,81.08128
384,0.95177436,0.606033,0.5185775,0.30316332,81.01304
385,0.9602669,0.6080319,0.51850164,0.30178174,81.20261
386,0.9532909,0.6071784,0.5260843,0.30614305,80.93722
387,0.96633303,0.6130907,0.5184258,0.3015106,81.2481
388,0.97694874,0.6243553,0.52016985,0.30308384,81.1192
389,0.9639066,0.612232,0.5204732,0.30320203,81.104034
390,0.9548074,0.6052809,0.5225963,0.30495912,80.93722
391,0.9690628,0.61178106,0.52388537,0.3049022,81.01304
392,0.9687595,0.6147026,0.5233546,0.3050703,80.967545
393,0.978162,0.61843866,0.52100396,0.3034701,81.09645
394,0.97361237,0.6178839,0.5225205,0.30317855,81.19502
395,0.9887777,0.6266561,0.52077645,0.30354246,81.05854
396,0.9711859,0.6146716,0.52085227,0.30314165,81.126785
397,0.9681529,0.6143643,0.5247194,0.30579904,80.929634
398,0.9751289,0.6179838,0.524037,0.30518332,80.97513
399,0.95723385,0.60908204,0.5255535,0.30628163,80.8993
