,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
74,0.9399454,0.58342344,0.77995145,0.49012396,66.53018
75,0.93114954,0.5759135,0.7923112,0.49586913,66.33303
76,0.9314528,0.57602257,0.79132545,0.49622947,66.21171
77,0.8883834,0.5554118,0.802017,0.5024193,65.83257
78,0.91841066,0.57987607,0.77790415,0.4888757,66.59842
79,0.94115865,0.58655345,0.7739612,0.48740983,66.61359
80,0.92629665,0.58157516,0.77797997,0.48772973,66.79557
81,0.93539584,0.5834016,0.777525,0.48730546,66.81832
82,0.93812555,0.5826565,0.7794965,0.48878744,66.689415
83,0.9344859,0.582202,0.77221715,0.48611405,66.71974
84,0.929633,0.5749306,0.7854868,0.49172357,66.53776
85,0.92690325,0.5748473,0.77434033,0.48476723,67.038216
86,0.93114954,0.5816087,0.75818926,0.47649568,67.43251
87,0.91689414,0.5743337,0.7565969,0.47680736,67.311195
88,0.9399454,0.58411413,0.76736426,0.4809575,67.25811
89,0.944495,0.584642,0.7621322,0.47748327,67.47801
90,0.9235669,0.5788298,0.7583409,0.47737175,67.311195
91,0.92205036,0.5758826,0.7519715,0.47197556,67.80406
92,0.95723385,0.59091353,0.7507583,0.47189125,67.72066
93,0.9223536,0.577666,0.75553536,0.47273213,67.84198
94,0.9350925,0.58314264,0.76160145,0.47519958,67.7889
95,0.92841977,0.5838332,0.7612982,0.476087,67.614494
96,0.9496512,0.5895737,0.76107067,0.4754313,67.70549
97,0.9490446,0.5928872,0.7556112,0.47215036,67.93297
98,0.91082805,0.56836176,0.74545044,0.46575537,68.40309
99,0.9754322,0.60897464,0.73832273,0.46170068,68.63057
100,0.9102214,0.56899804,0.7322566,0.45760003,68.91113
101,0.93630576,0.5842095,0.7485593,0.46624854,68.47892
102,0.92053384,0.5753108,0.75015163,0.46660584,68.49409
103,0.9399454,0.58871555,0.73202914,0.45597032,69.146194
104,0.93266606,0.59074503,0.74211407,0.46224785,68.721565
105,0.94661814,0.58897036,0.7388535,0.46068662,68.78981
106,0.9193206,0.57798976,0.74681526,0.46294045,68.835304
107,0.95784044,0.5953066,0.73961174,0.45930675,69.01729
108,0.9181074,0.5732551,0.7260388,0.45311996,69.25993
109,0.9250834,0.5816538,0.71587807,0.44627795,69.76797
110,0.92205036,0.5800692,0.72209585,0.45073017,69.40401
111,0.9590537,0.60226566,0.72209585,0.44721326,69.94995
112,0.9596603,0.5945246,0.72763115,0.4519938,69.517746
113,0.9393388,0.5899125,0.71413404,0.4435867,70.07127
114,0.9520776,0.59414995,0.71860784,0.4448766,70.10161
115,0.9390355,0.5910013,0.71716714,0.44427845,70.154686
116,0.9496512,0.5913513,0.7089779,0.43927014,70.45041
117,0.9378223,0.5893309,0.70867455,0.43745872,70.70064
118,0.9569305,0.60797596,0.70639974,0.43727696,70.62481
119,0.94874126,0.5951294,0.7042008,0.43480393,70.85229
120,0.95602065,0.5994685,0.71064603,0.4398445,70.45041
